,code,type,name,group,market
323,711864,上櫃認購(售)權證,中美晶中信06購01,,上櫃
324,711865,上櫃認購(售)權證,中美晶中信06購02,,上櫃
325,711866,上櫃認購(售)權證,穩懋中信06購01,,上櫃
326,711867,上櫃認購(售)權證,穩懋中信06購02,,上櫃
327,711868,上櫃認購(售)權證,大學光永豐01購01,,上櫃
328,711869,上櫃認購(售)權證,原相永豐01購01,,上櫃
329,711874,上櫃認購(售)權證,金居群益02購01,,上櫃
330,711875,上櫃認購(售)權證,晶焱群益01購01,,上櫃
331,711877,上櫃認購(售)權證,大江元大01購01,,上櫃
332,711878,上櫃認購(售)權證,中美晶元大01購01,,上櫃
333,711885,上櫃認購(售)權證,雙鴻元大01購01,,上櫃
334,711887,上櫃認購(售)權證,太醫國票01購01,,上櫃
335,711888,上櫃認購(售)權證,信驊國票01購01,,上櫃
336,711889,上櫃認購(售)權證,鈊象國票01購02,,上櫃
337,711890,上櫃認購(售)權證,力旺凱基01購02,,上櫃
338,711892,上櫃認購(售)權證,元太凱基02購01,,上櫃
339,711893,上櫃認購(售)權證,合晶凱基01購01,,上櫃
340,711896,上櫃認購(售)權證,凡甲統一02購01,,上櫃
341,711898,上櫃認購(售)權證,中美晶統一02購02,,上櫃
342,711901,上櫃認購(售)權證,茂達統一01購01,,上櫃
343,711902,上櫃認購(售)權證,緯軟統一02購01,,上櫃
344,711903,上櫃認購(售)權證,優群統一01購01,,上櫃
345,711904,上櫃認購(售)權證,環球晶統一01購02,,上櫃
346,711905,上櫃認購(售)權證,環球晶統一02購01,,上櫃
347,711906,上櫃認購(售)權證,穩懋統一01購04,,上櫃
348,711909,上櫃認購(售)權證,鈊象元富06購01,,上櫃
349,711910,上櫃認購(售)權證,大學光兆豐01購01,,上櫃
350,711911,上櫃認購(售)權證,原相兆豐01購01,,上櫃
351,711916,上櫃認購(售)權證,弘塑元大01購01,,上櫃
352,711919,上櫃認購(售)權證,碩禾元大01購01,,上櫃
353,711923,上櫃認購(售)權證,雙鴻元大01購02,,上櫃
354,711924,上櫃認購(售)權證,穩懋元大01購01,,上櫃
355,711927,上櫃認購(售)權證,譜瑞元大01購02,,上櫃
356,711932,上櫃認購(售)權證,神盾中信03購01,,上櫃
357,711935,上櫃認購(售)權證,力旺統一01購01,,上櫃
358,711936,上櫃認購(售)權證,中美晶統一02購03,,上櫃
359,711937,上櫃認購(售)權證,六角統一02購02,,上櫃
360,711938,上櫃認購(售)權證,威剛統一01購02,,上櫃
361,711941,上櫃認購(售)權證,網家統一02購01,,上櫃
362,711942,上櫃認購(售)權證,優群統一01購02,,上櫃
363,711943,上櫃認購(售)權證,頎邦統一01購01,,上櫃
364,711945,上櫃認購(售)權證,金居凱基01購01,,上櫃
365,711946,上櫃認購(售)權證,威剛凱基02購01,,上櫃
366,711947,上櫃認購(售)權證,群聯凱基02購01,,上櫃
367,711948,上櫃認購(售)權證,精測凱基01購02,,上櫃
368,711950,上櫃認購(售)權證,新鉅科國泰02購01,,上櫃
369,711953,上櫃認購(售)權證,精測群益01購04,,上櫃
370,711954,上櫃認購(售)權證,優群群益01購01,,上櫃
371,711955,上櫃認購(售)權證,雙鴻群益02購01,,上櫃
372,711956,上櫃認購(售)權證,信驊富邦01購02,,上櫃
373,711957,上櫃認購(售)權證,原相富邦03購01,,上櫃
374,711958,上櫃認購(售)權證,雙鴻富邦01購01,,上櫃
375,711959,上櫃認購(售)權證,久元國票01購01,,上櫃
376,711961,上櫃認購(售)權證,威剛國票01購01,,上櫃
377,711962,上櫃認購(售)權證,網家國票01購02,,上櫃
